transaction_id,transaction_date,merchant_name,raw_amount,currency,status,risk_score,gateway_region,user_id,payment_method,exchange_rate,amount_usd,high_value_flag,high_risk_flag
T001,01-03-2026,alpha mart,420000,INR,captured,0,APAC,U001,UPI,0.0119,4998,0,0
T003,01-03-2026,beta stores,510000,INR,captured,71,APAC,U003,NetBanking,0.012,6120,1,1
T004,02-03-2026,beta stores,160000,INR,failed,68,APAC,U004,Card,0.012,1920,0,0
T005,02-03-2026,alpha mart,390000,INR,captured,58,,U001,UPI,0.012,4680,0,0
T006,02-03-2026,beta stores,275000,INR,captured,0,,U005,Wallet,0.012,3300,0,0
T007,02-03-2026,alpha mart,450000,INR,chargeback,0,APAC,U006,Card,0.0121,5445,1,1
T008,03-03-2026,beta stores,340000,INR,captured,59,,U007,UPI,0.0121,4114,0,0
T009,03-03-2026,alpha mart,125000,INR,captured,46,APAC,U002,Wallet,0.0121,1512.5,0,0
T010,03-03-2026,beta stores,610000,INR,captured,0,,U003,Card,0.0121,7381,0,0
T011,03-03-2026,alpha mart,195000,INR,failed,0,,U008,UPI,0.012,2340,0,0
T012,04-03-2026,beta stores,250000,INR,captured,0,APAC,U009,Card,0.012,3000,0,0
T013,04-03-2026,alpha mart,310000,INR,captured,0,APAC,U010,UPI,0.012,3720,0,0
T014,04-03-2026,beta stores,470000,INR,captured,0,APAC,U001,NetBanking,0.012,5640,1,0
T015,04-03-2026,alpha mart,130000,INR,captured,0,,U002,Card,0.0118,1534,0,0
T016,05-03-2026,beta stores,220000,INR,failed,0,,U008,Card,0.0118,2596,0,0
T017,05-03-2026,beta stores,180000,INR,failed,0,APAC,U008,Card,0.0118,2124,0,0
T018,05-03-2026,beta stores,145000,INR,chargeback,0,APAC,U008,UPI,0.0118,1711,0,1
T019,05-03-2026,alpha mart,260000,INR,failed,0,APAC,U008,Wallet,0.0118,3068,0,0
T020,05-03-2026,alpha mart,520000,INR,captured,75,APAC,U005,UPI,0.0119,6188,1,1
T021,06-03-2026,beta stores,330000,INR,captured,0,,U006,Card,0.0119,3927,0,0
T022,06-03-2026,alpha mart,410000,INR,captured,60,APAC,U007,UPI,1.08,442800,1,0
T023,01-03-2026,city pharma,5200,EUR,captured,42,EU,U003,Card,1.09,5668,0,0
T024,02-03-2026,eco home,6100,EUR,chargeback,0,EU,U004,Card,1.08,6588,1,1
T025,03-03-2026,city pharma,2800,EUR,captured,38,EU,U005,Wallet,1.09,3052,0,0
T026,05-03-2026,eco home,3300,EUR,failed,44,EU,U006,NetBanking,1,3300,0,0
T027,01-03-2026,delta travels,7200,USD,captured,49,US,U007,Card,1,7200,1,0
T028,02-03-2026,delta travels,3100,USD,captured,0,US,U008,Card,1,3100,0,0
T029,04-03-2026,delta travels,2500,USD,chargeback,0,US,U009,Wallet,1,2500,0,1
T030,06-03-2026,delta travels,1800,USD,failed,0,US,U010,UPI,0,0,0,0
